"artist_name","Valence","danceability","energy","loudness","speechiness","acousticness","liveness","tempo","track_name","album_name","album_release_year"
"Ed Sheeran",0.325,0.47,0.203,-8.676,0.0371,0.758,0.312,153.578,"Boat","- (Deluxe)",2023
"Ed Sheeran",0.279,0.584,0.374,-9.224,0.0337,0.617,0.0694,147.084,"Salt Water","- (Deluxe)",2023
"Ed Sheeran",0.309,0.793,0.52,-7.457,0.0696,0.246,0.0878,107.014,"Eyes Closed","- (Deluxe)",2023
"Ed Sheeran",0.456,0.629,0.312,-7.609,0.0318,0.813,0.169,77.044,"Life Goes On","- (Deluxe)",2023
"Ed Sheeran",0.616,0.711,0.55,-9.682,0.0332,0.226,0.12,146.928,"Dusty","- (Deluxe)",2023
"Ed Sheeran",0.316,0.663,0.436,-7.81,0.0359,0.488,0.116,143.197,"End Of Youth","- (Deluxe)",2023
"Ed Sheeran",0.156,0.428,0.296,-8.731,0.0396,0.85,0.0767,169.744,"Colourblind","- (Deluxe)",2023
"Ed Sheeran",0.443,0.5,0.757,-6.542,0.0522,0.0989,0.324,175.944,"Curtains","- (Deluxe)",2023
"Ed Sheeran",0.226,0.51,0.316,-10.001,0.0289,0.941,0.0936,139.917,"Borderline","- (Deluxe)",2023
"Ed Sheeran",0.399,0.56,0.616,-7.523,0.032,0.776,0.0901,172.031,"Spark","- (Deluxe)",2023
"Ed Sheeran",0.353,0.743,0.405,-7.901,0.0416,0.803,0.134,124.041,"Vega","- (Deluxe)",2023
"Ed Sheeran",0.35,0.592,0.32,-8.069,0.0331,0.727,0.259,134.085,"Sycamore","- (Deluxe)",2023
"Ed Sheeran",0.252,0.644,0.345,-6.433,0.0268,0.829,0.12,80.957,"No Strings","- (Deluxe)",2023
"Ed Sheeran",0.326,0.436,0.19,-7.693,0.0303,0.872,0.0971,79.571,"The Hills of Aberfeldy","- (Deluxe)",2023
"Ed Sheeran",0.155,0.764,0.233,-9.099,0.0302,0.86,0.0939,131.982,"Wildflowers - Bonus Track","- (Deluxe)",2023
"Ed Sheeran",0.4,0.695,0.322,-7.145,0.03,0.76,0.0895,119.937,"Stoned - Bonus Track","- (Deluxe)",2023
"Ed Sheeran",0.484,0.623,0.547,-7.077,0.0342,0.562,0.129,133.297,"Toughest - Bonus Track","- (Deluxe)",2023
"Ed Sheeran",0.728,0.611,0.394,-6.786,0.0306,0.763,0.153,74.998,"Moving - Bonus Track","- (Deluxe)",2023
"Ed Sheeran",0.427,0.631,0.825,-3.971,0.0433,0.0167,0.122,129.942,"Tides","= (Tour Edition)",2022
"Ed Sheeran",0.822,0.788,0.859,-2.724,0.0856,0.281,0.0424,141.02,"Shivers","= (Tour Edition)",2022
"Ed Sheeran",0.352,0.587,0.267,-9.206,0.0349,0.84,0.121,98.845,"First Times","= (Tour Edition)",2022
"Ed Sheeran",0.537,0.807,0.893,-3.745,0.0347,0.0451,0.366,126.011,"Bad Habits","= (Tour Edition)",2022
"Ed Sheeran",0.774,0.52,0.849,-3.794,0.186,0.00253,0.119,175.908,"Overpass Graffiti","= (Tour Edition)",2022
"Ed Sheeran",0.289,0.567,0.211,-9.975,0.0315,0.952,0.275,134.019,"The Joker And The Queen","= (Tour Edition)",2022
"Ed Sheeran",0.54,0.578,0.558,-5.438,0.0872,0.236,0.143,75.087,"Leave Your Life","= (Tour Edition)",2022
"Ed Sheeran",0.559,0.672,0.73,-4.77,0.0372,0.113,0.0612,123.969,"Collide","= (Tour Edition)",2022
"Ed Sheeran",0.632,0.763,0.661,-5.592,0.056,0.169,0.117,95.002,"2step","= (Tour Edition)",2022
"Ed Sheeran",0.743,0.686,0.765,-4.778,0.118,0.0122,0.127,99.998,"Stop The Rain","= (Tour Edition)",2022
"Ed Sheeran",0.426,0.485,0.54,-5.4,0.0253,0.668,0.0849,62.631,"Love In Slow Motion","= (Tour Edition)",2022
"Ed Sheeran",0.263,0.471,0.396,-6.654,0.0336,0.77,0.0729,149.609,"Visiting Hours","= (Tour Edition)",2022
